Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
194.0,C4H11N,diethyl amine,"16,0545","2595,01","-53,15",350.0,242.0
195.0,C5H5N,pyridine,"16,0910","3095,13","-61,15",425.0,285.0
196.0,C5H8,ciclopentene,"15,9356","2583,07","-39,70",378.0,244.0
197.0,C5H8,"1,2 pentadiene","15,9297","2544,34","-44,30",340.0,250.0
198.0,C5H8,1-trans-3-pentadiene,"15,9182","2541,69","-41,43",340.0,250.0
199.0,C5H8,"1,4 pentadiene","15,7392","2344,02","-41,69",320.0,240.0
200.0,C5H8,1-pentyne,"16,0429","2515,62","-45,97",335.0,230.0
201.0,C5H8,"2-methyl-1,2butadiene","15,8548","2467,40","-39,64",330.0,250.0
202.0,C5H8,"3-,ethyl-1,2 butadiene","15,9880","2541,83","-42,26",335.0,250.0
203.0,C5H8O,cyclopentanone,"16,0897","3193,92","-66,15",440.0,300.0
204.0,C5H8O2,ethyl acrylate,"15,0890","2974,94","-58,15",409.0,274.0
205.0,C5H10,cyclopentane,"15,8574","2588,48","-41,79",345.0,230.0
206.0,C5H10,1-pentene,"15,7646","2405,96","-39,63",325.0,220.0
207.0,C5H10,cis-2-pentene,"15,8251","2459,05","-42,56",330.0,220.0
208.0,C5H10,trans-2-pentene,"15,9011","2495,97","-40,18",330.0,220.0
209.0,C5H10,2-methyl-1 butene,"15,8260","2426,42","-40,36",325.0,220.0
210.0,C5H10,2-methyl-2 butene,"15,9238","2521,53","-40,31",335.0,226.0
211.0,C5H10,3-methyl-1 butene,"15,7179","2333,61","-36,33",315.0,210.0
212.0,C5H10O,valeraldehyde,"16,1623","3030,20","-58,15",412.0,277.0
213.0,C5H10O,methyl n-propyl keton,"16,0031","2934,87","-62,25",140.0,275.0
214.0,C5H10O,methyl isopropyl keton,"14,1779","1993,12","-103,20",406.0,271.0
215.0,C5H10O,diethyl keton,"16,8138","3410,51","-40,15",400.0,275.0
216.0,C5H10O2,n-valeric acid,"17,6306","4092,15","-86,55",495.0,350.0
217.0,C5H10O2,isobytil formate,"16,2292","2980,47","-64,15",409.0,278.0
218.0,C5H10O2,n-propyl acetate,"16,2291","2980,47","-64,15",410.0,280.0
219.0,C5H10O2,ethyl propionate,"16,1620","2935,11","-64,16",396.0,276.0
222.0,C5H11N,piperidine,"16,1004","3015,43","-61,15",416.0,280.0
223.0,C5H12,n-pentane,"15,8333","2477,07","-39,94",330.0,220.0
224.0,C5H12,2-methyl butane,"15,6338","2348,67","-40,05",322.0,216.0
225.0,C5H12,"2,2 dimethyl propane","15,2069","2034,15","-45,37",305.0,260.0
226.0,C5H12O,1-pentanol,"16,5270","3026,89","-105,00",144.0,310.0
227.0,C5H12O,2-methyl-1-butanol,"16,2780","2752,19","-116,30",402.0,307.0
228.0,C5H12O,3-methyl-1-butanol,"16,7127","3026,43","-104,41",426.0,298.0
229.0,C5H12O,2-methyl-2-butanol,"15,0113","1988,08","-137,80",375.0,298.0
230.0,C5H12O,"2,2 dimethyl 1-propanol","18,1336","3694,96","-65,00",406.0,328.0
231.0,C5H12O,etyl propyl eter,"15,4539","2423,41","-62,28",360.0,246.0
232.0,C6F6,perfluorobenzene,"16,1940","2827,53","-57,66",390.0,270.0
233.0,C6F12,perfluorocyclohexane,"13,9087","1374,07","-136,80",400.0,280.0
234.0,C6F14,perfluoro-n-hexane,"15,8307","2488,59","-59,73",330.0,270.0
235.0,C6H4CL2,o-dichlorobenzene,"16,2799","3798,23","-59,84",483.0,331.0
236.0,C6H4CL2,m-dichlorobenzene,"16,8173","4104,13","-43,15",475.0,326.0
237.0,C6H4CL2,p-dichlorobenzene,"16,1135","3626,83","-64,64",477.0,327.0
